candidate_id,first_name,surname,highest_qualification,code_HEL,"Arts, Design & Media","Business, Finance & Management",Culinary & Hospitality,Education & Training,Health & Medical Sciences,Humanities & Social Sciences,Law & Political Science,Marketing & Sales,"STEM (Science, Technology, Engineering & Mathematics)",Skilled Trades & Technical Certifications,Veterinary & Animal Sciences,latest_job_title,total_years_experience,avg_years_per_job,total_certifications,"cert_Business, Finance & Management","cert_Design, Arts & Media",cert_Education & Training,cert_Engineering & Technical Trades,cert_Finance & Accounting,"cert_Health, Medical & Veterinary",cert_Hospitality & Culinary,cert_Humanities & Social Sciences,cert_Languages & Communication,"cert_Law, Security & Emergency Services",cert_Marketing & Sales,cert_Project & Business Management,cert_Skilled Trades & Technical Certifications,cert_Technology & IT
5,Robert,Wilson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Senior Project Manager,15.97262149212868,3.99315537303217,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0
6,Lisa,Anderson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Finance Manager,11.96167008898015,2.9904175222450373,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0
6,Lisa,Anderson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Finance Manager,11.96167008898015,2.9904175222450373,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0
6,Lisa,Anderson,Master's Degree,5,0,5,0,0,0,0,0,0,0,0,0,Finance Manager,11.96167008898015,2.9904175222450373,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0
7,David,Martinez,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior DevOps Engineer,9.713894592744696,3.237964864248232,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
7,David,Martinez,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior DevOps Engineer,9.713894592744696,3.237964864248232,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
7,David,Martinez,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior DevOps Engineer,9.713894592744696,3.237964864248232,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
8,Emma,Taylor,MBA,5,0,5,0,0,0,0,0,0,3,0,0,Product Manager,10.932238193018481,3.644079397672827,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
8,Emma,Taylor,MBA,5,0,5,0,0,0,0,0,0,3,0,0,Product Manager,10.932238193018481,3.644079397672827,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
9,Christopher,Moore,Master's Degree,5,0,0,0,0,0,0,0,0,5,0,0,Senior Security Consultant,12.711841204654347,4.237280401551449,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2
9,Christopher,Moore,Master's Degree,5,0,0,0,0,0,0,0,0,5,0,0,Senior Security Consultant,12.711841204654347,4.237280401551449,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2
9,Christopher,Moore,Master's Degree,5,0,0,0,0,0,0,0,0,5,0,0,Senior Security Consultant,12.711841204654347,4.237280401551449,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2
10,Amanda,Garcia,Bachelor's Degree,3,0,3,0,0,0,0,0,1,0,0,0,Sales Manager,10.00684462696783,3.3356148756559434,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0
10,Amanda,Garcia,Bachelor's Degree,3,0,3,0,0,0,0,0,1,0,0,0,Sales Manager,10.00684462696783,3.3356148756559434,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0
11,Ryan,Thompson,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Mobile Developer,9.015742642026009,3.005247547342003,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3
11,Ryan,Thompson,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Mobile Developer,9.015742642026009,3.005247547342003,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3
11,Ryan,Thompson,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Mobile Developer,9.015742642026009,3.005247547342003,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3
12,Ashley,White,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,HR Manager,8.008213552361397,2.669404517453799,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
12,Ashley,White,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,HR Manager,8.008213552361397,2.669404517453799,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
13,Kevin,Clark,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Data Analytics Manager,7.017111567419576,2.3390371891398587,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
13,Kevin,Clark,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Data Analytics Manager,7.017111567419576,2.3390371891398587,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
14,Michelle,Lewis,Bachelor's Degree,3,0,0,0,0,0,3,0,1,0,0,0,Marketing Communications Manager,10.009582477754963,3.3365274925849877,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
14,Michelle,Lewis,Bachelor's Degree,3,0,0,0,0,0,3,0,1,0,0,0,Marketing Communications Manager,10.009582477754963,3.3365274925849877,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
15,Daniel,Walker,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior QA Engineer,7.9780971937029435,2.6593657312343146,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
15,Daniel,Walker,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior QA Engineer,7.9780971937029435,2.6593657312343146,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2
16,Nicole,Hall,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Operations Manager,10.924024640657084,3.6413415468856947,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
16,Nicole,Hall,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Operations Manager,10.924024640657084,3.6413415468856947,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
17,Brian,Young,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Network Engineer,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
17,Brian,Young,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Network Engineer,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
17,Brian,Young,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Network Engineer,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
18,Stephanie,King,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Art Director,8.005475701574264,2.6684919005247547,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0
18,Stephanie,King,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Art Director,8.005475701574264,2.6684919005247547,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0
19,Anthony,Wright,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Database Architect,10.009582477754961,3.336527492584987,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
19,Anthony,Wright,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Database Architect,10.009582477754961,3.336527492584987,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
19,Anthony,Wright,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Database Architect,10.009582477754961,3.336527492584987,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
20,Rachel,Lopez,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Customer Success Manager,7.049965776865161,3.5249828884325805,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0
20,Rachel,Lopez,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Customer Success Manager,7.049965776865161,3.5249828884325805,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0
21,Matthew,Hill,Bachelor's Degree,3,0,0,0,0,0,3,0,0,1,0,0,Documentation Manager,8.016427104722792,2.6721423682409307,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
21,Matthew,Hill,Bachelor's Degree,3,0,0,0,0,0,3,0,0,1,0,0,Documentation Manager,8.016427104722792,2.6721423682409307,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
22,Lauren,Green,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Supply Chain Manager,9.00479123887748,3.0015970796258267,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
22,Lauren,Green,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Supply Chain Manager,9.00479123887748,3.0015970796258267,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
23,Jason,Adams,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Principal Cloud Architect,10.924024640657084,3.6413415468856947,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3
23,Jason,Adams,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Principal Cloud Architect,10.924024640657084,3.6413415468856947,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3
23,Jason,Adams,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Principal Cloud Architect,10.924024640657084,3.6413415468856947,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3
23,Jason,Adams,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Principal Cloud Architect,10.924024640657084,3.6413415468856947,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3
24,Crystal,Baker,Bachelor's Degree,3,0,0,3,0,0,0,0,0,0,0,0,Event Operations Manager,8.016427104722792,2.6721423682409307,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0
24,Crystal,Baker,Bachelor's Degree,3,0,0,3,0,0,0,0,0,0,0,0,Event Operations Manager,8.016427104722792,2.6721423682409307,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0
25,Tyler,Gonzalez,Bachelor's Degree,3,0,0,0,0,0,0,0,3,0,0,0,Social Media Manager,6.050650239561945,3.0253251197809723,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
25,Tyler,Gonzalez,Bachelor's Degree,3,0,0,0,0,0,0,0,3,0,0,0,Social Media Manager,6.050650239561945,3.0253251197809723,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
26,Samantha,Nelson,PhD,6,0,0,0,0,0,0,0,0,6,0,0,Principal Research Scientist,13.965776865160848,4.655258955053616,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0
26,Samantha,Nelson,PhD,6,0,0,0,0,0,0,0,0,6,0,0,Principal Research Scientist,13.965776865160848,4.655258955053616,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0
26,Samantha,Nelson,PhD,6,0,0,0,0,0,0,0,0,6,0,0,Principal Research Scientist,13.965776865160848,4.655258955053616,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0
27,Jordan,Carter,Master's Degree,5,0,0,0,5,0,0,0,0,0,0,0,Education Director,12.848733744010952,4.282911248003651,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0
27,Jordan,Carter,Master's Degree,5,0,0,0,5,0,0,0,0,0,0,0,Education Director,12.848733744010952,4.282911248003651,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0
27,Jordan,Carter,Master's Degree,5,0,0,0,5,0,0,0,0,0,0,0,Education Director,12.848733744010952,4.282911248003651,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0
28,Victoria,Mitchell,JD,4,0,0,0,0,0,0,4,0,0,0,0,Senior Attorney,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0
28,Victoria,Mitchell,JD,4,0,0,0,0,0,0,4,0,0,0,0,Senior Attorney,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0
28,Victoria,Mitchell,JD,4,0,0,0,0,0,0,4,0,0,0,0,Senior Attorney,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0
29,Gregory,Perez,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Logistics Manager,8.016427104722792,2.6721423682409307,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
29,Gregory,Perez,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Logistics Manager,8.016427104722792,2.6721423682409307,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0
30,Melissa,Roberts,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Design Manager,11.008898015058179,3.6696326716860597,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
30,Melissa,Roberts,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Design Manager,11.008898015058179,3.6696326716860597,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
31,Stephen,Turner,Bachelor's Degree,3,1,0,0,0,0,0,0,0,3,0,0,Senior Design Engineer,11.978097193702943,3.9926990645676477,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
31,Stephen,Turner,Bachelor's Degree,3,1,0,0,0,0,0,0,0,3,0,0,Senior Design Engineer,11.978097193702943,3.9926990645676477,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
32,Angela,Phillips,Bachelor's Degree,3,0,0,0,0,0,3,0,0,0,0,0,Director of Communications,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0
32,Angela,Phillips,Bachelor's Degree,3,0,0,0,0,0,3,0,0,0,0,0,Director of Communications,9.007529089664613,3.002509696554871,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0
33,Eric,Campbell,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Creative Director,10.00684462696783,3.3356148756559434,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
33,Eric,Campbell,Bachelor's Degree,3,3,0,0,0,0,0,0,0,0,0,0,Creative Director,10.00684462696783,3.3356148756559434,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
34,Sharon,Parker,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Accounting Manager,11.008898015058179,3.6696326716860597,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0
34,Sharon,Parker,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Accounting Manager,11.008898015058179,3.6696326716860597,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0
35,Nathan,Evans,Doctorate,6,0,0,0,0,6,0,0,0,0,0,0,Clinic Director,8.421629021218344,2.807209673739448,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
35,Nathan,Evans,Doctorate,6,0,0,0,0,6,0,0,0,0,0,0,Clinic Director,8.421629021218344,2.807209673739448,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
35,Nathan,Evans,Doctorate,6,0,0,0,0,6,0,0,0,0,0,0,Clinic Director,8.421629021218344,2.807209673739448,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
36,Deborah,Edwards,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Underwriting Manager,10.00684462696783,3.3356148756559434,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
36,Deborah,Edwards,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Underwriting Manager,10.00684462696783,3.3356148756559434,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
37,Carlos,Collins,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Environmental Engineering Manager,9.007529089664613,3.002509696554871,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
37,Carlos,Collins,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Environmental Engineering Manager,9.007529089664613,3.002509696554871,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
38,Patricia,Stewart,Master's Degree,5,0,0,0,0,5,0,0,0,0,0,0,Senior Nurse Practitioner,15.471594798083505,5.157198266027835,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
38,Patricia,Stewart,Master's Degree,5,0,0,0,0,5,0,0,0,0,0,0,Senior Nurse Practitioner,15.471594798083505,5.157198266027835,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
38,Patricia,Stewart,Master's Degree,5,0,0,0,0,5,0,0,0,0,0,0,Senior Nurse Practitioner,15.471594798083505,5.157198266027835,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
39,Benjamin,Sanchez,Master's Degree,5,0,0,0,0,0,0,0,0,5,0,0,Enterprise Architect,18.00684462696783,6.00228154232261,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
39,Benjamin,Sanchez,Master's Degree,5,0,0,0,0,0,0,0,0,5,0,0,Enterprise Architect,18.00684462696783,6.00228154232261,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
39,Benjamin,Sanchez,Master's Degree,5,0,0,0,0,0,0,0,0,5,0,0,Enterprise Architect,18.00684462696783,6.00228154232261,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2
40,Cynthia,Morris,MBA,5,0,5,0,0,0,0,0,0,0,0,0,Finance Director,13.00479123887748,4.33493041295916,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
40,Cynthia,Morris,MBA,5,0,5,0,0,0,0,0,0,0,0,0,Finance Director,13.00479123887748,4.33493041295916,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
41,Harold,Rogers,Bachelor's Degree,3,0,0,0,0,0,0,0,0,0,3,0,General Contractor,16.922655715263517,5.6408852384211725,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0
41,Harold,Rogers,Bachelor's Degree,3,0,0,0,0,0,0,0,0,0,3,0,General Contractor,16.922655715263517,5.6408852384211725,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0
42,Katherine,Reed,Bachelor's Degree,3,0,0,0,0,0,0,0,3,1,0,0,Research Manager,8.008213552361397,2.669404517453799,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1
42,Katherine,Reed,Bachelor's Degree,3,0,0,0,0,0,0,0,3,1,0,0,Research Manager,8.008213552361397,2.669404517453799,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1
43,Dennis,Cook,Bachelor's Degree,3,0,1,0,0,0,0,0,0,3,0,0,Operations Manager,10.009582477754963,3.3365274925849877,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0
43,Dennis,Cook,Bachelor's Degree,3,0,1,0,0,0,0,0,0,3,0,0,Operations Manager,10.009582477754963,3.3365274925849877,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0
43,Dennis,Cook,Bachelor's Degree,3,0,1,0,0,0,0,0,0,3,0,0,Operations Manager,10.009582477754963,3.3365274925849877,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0
44,Helen,Bailey,PharmD,4,0,0,0,0,4,0,0,0,3,0,0,Pharmacy Manager,11.017111567419576,3.672370522473192,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
44,Helen,Bailey,PharmD,4,0,0,0,0,4,0,0,0,3,0,0,Pharmacy Manager,11.017111567419576,3.672370522473192,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
44,Helen,Bailey,PharmD,4,0,0,0,0,4,0,0,0,3,0,0,Pharmacy Manager,11.017111567419576,3.672370522473192,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
45,Lawrence,Rivera,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Telecommunications Engineer,11.008898015058179,3.6696326716860597,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
45,Lawrence,Rivera,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Telecommunications Engineer,11.008898015058179,3.6696326716860597,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
45,Lawrence,Rivera,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Telecommunications Engineer,11.008898015058179,3.6696326716860597,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
46,Teresa,Cooper,Bachelor's Degree,3,0,0,0,0,1,0,0,0,3,0,0,Director of Clinical Research,9.007529089664613,3.002509696554871,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
46,Teresa,Cooper,Bachelor's Degree,3,0,0,0,0,1,0,0,0,3,0,0,Director of Clinical Research,9.007529089664613,3.002509696554871,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
47,Gerald,Peterson,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Real Estate Investment Manager,13.092402464065708,4.3641341546885695,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
47,Gerald,Peterson,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Real Estate Investment Manager,13.092402464065708,4.3641341546885695,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
47,Gerald,Peterson,Bachelor's Degree,3,0,3,0,0,0,0,0,0,0,0,0,Real Estate Investment Manager,13.092402464065708,4.3641341546885695,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
48,Sandra,Richardson,Master's Degree,5,0,0,0,5,0,0,0,0,0,0,0,Assistant Principal,13.467488021902806,4.489162673967602,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0
48,Sandra,Richardson,Master's Degree,5,0,0,0,5,0,0,0,0,0,0,0,Assistant Principal,13.467488021902806,4.489162673967602,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0
49,Kenneth,Cox,Associate Degree,2,0,0,2,0,0,0,0,0,0,0,0,Executive Chef,12.008213552361397,4.002737850787132,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
49,Kenneth,Cox,Associate Degree,2,0,0,2,0,0,0,0,0,0,0,0,Executive Chef,12.008213552361397,4.002737850787132,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
50,Donna,Ward,DVM,4,0,0,0,0,0,0,0,0,0,0,4,Veterinary Director,10.978781656399727,3.6595938854665757,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
50,Donna,Ward,DVM,4,0,0,0,0,0,0,0,0,0,0,4,Veterinary Director,10.978781656399727,3.6595938854665757,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
50,Donna,Ward,DVM,4,0,0,0,0,0,0,0,0,0,0,4,Veterinary Director,10.978781656399727,3.6595938854665757,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
51,Arthur,Torres,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Power Systems Engineer,13.007529089664612,4.335843029888204,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
51,Arthur,Torres,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Power Systems Engineer,13.007529089664612,4.335843029888204,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
51,Arthur,Torres,Bachelor's Degree,3,0,0,0,0,0,0,0,0,3,0,0,Senior Power Systems Engineer,13.007529089664612,4.335843029888204,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0
52,Cheryl,Peterson,Master's Degree,5,0,0,0,0,0,5,0,0,0,0,0,Director of Social Services,11.468856947296374,3.8229523157654577,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
52,Cheryl,Peterson,Master's Degree,5,0,0,0,0,0,5,0,0,0,0,0,Director of Social Services,11.468856947296374,3.8229523157654577,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
52,Cheryl,Peterson,Master's Degree,5,0,0,0,0,0,5,0,0,0,0,0,Director of Social Services,11.468856947296374,3.8229523157654577,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
53,Ralph,Gray,Bachelor's Degree,3,0,0,0,0,0,0,3,0,0,0,0,Detective Sergeant,15.93429158110883,5.3114305270362765,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0
53,Ralph,Gray,Bachelor's Degree,3,0,0,0,0,0,0,3,0,0,0,0,Detective Sergeant,15.93429158110883,5.3114305270362765,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0
53,Ralph,Gray,Bachelor's Degree,3,0,0,0,0,0,0,3,0,0,0,0,Detective Sergeant,15.93429158110883,5.3114305270362765,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0
54,Janice,Ramirez,Bachelor's Degree,3,0,0,0,0,0,0,0,3,0,0,0,Marketing Automation Specialist,7.049965776865161,3.5249828884325805,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0
54,Janice,Ramirez,Bachelor's Degree,3,0,0,0,0,0,0,0,3,0,0,0,Marketing Automation Specialist,7.049965776865161,3.5249828884325805,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0
55,Wayne,James,Certificate,1,0,0,0,0,0,0,0,0,0,1,0,Transportation Manager,20.008213552361397,6.669404517453799,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0
55,Wayne,James,Certificate,1,0,0,0,0,0,0,0,0,0,1,0,Transportation Manager,20.008213552361397,6.669404517453799,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0
